x,radius
0,0.0325
0.0000999999999999943,0.0325
0.000200000000000003,0.0325
0.000299999999999997,0.0325
0.000399999999999991,0.0325
0.0005,0.0325
0.000599999999999994,0.0325
0.000700000000000003,0.0325
0.000799999999999997,0.0325
0.000899999999999991,0.0325
0.001,0.0325
0.00109999999999999,0.0325
0.0012,0.0325
0.0013,0.0325
0.00139999999999999,0.0325
0.0015,0.0325
0.00159999999999999,0.0325
0.0017,0.0325
0.0018,0.0325
0.00189999999999999,0.0325
0.002,0.0325
0.00209999999999999,0.0325
0.0022,0.0325
0.0023,0.0325
0.00239999999999999,0.0325
0.0025,0.0325
0.00259999999999999,0.0325
0.0027,0.0325
0.0028,0.0325
0.00289999999999999,0.0325
0.003,0.0325
0.00309999999999999,0.0325
0.0032,0.0325
0.0033,0.0325
0.00339999999999999,0.0325
0.0035,0.0325
0.00359999999999999,0.0325
0.0037,0.0325
0.0038,0.0325
0.00389999999999999,0.0325
0.004,0.0325
0.00409999999999999,0.0325
0.0042,0.0325
0.0043,0.0325
0.00439999999999999,0.0325
0.0045,0.0325
0.00459999999999999,0.0325
0.0047,0.0325
0.0048,0.0325
0.00489999999999999,0.0325
0.005,0.0325
0.00509999999999999,0.0325
0.0052,0.0325
0.0053,0.0325
0.00539999999999999,0.0325
0.0055,0.0325
0.00559999999999999,0.0325
0.0057,0.0325
0.0058,0.0325
0.00589999999999999,0.0325
0.006,0.0325
0.00609999999999999,0.0325
0.0062,0.0325
0.0063,0.0325
0.00639999999999999,0.0325
0.0065,0.0325
0.00659999999999999,0.0325
0.0067,0.0325
0.0068,0.0325
0.00689999999999999,0.0325
0.007,0.0325
0.00709999999999999,0.0325
0.0072,0.0325
0.0073,0.0325
0.00739999999999999,0.0325
0.0075,0.0325
0.00759999999999999,0.0325
0.0077,0.0325
0.0078,0.0325
0.00789999999999999,0.0325
0.008,0.0325
0.00809999999999999,0.0325
0.0082,0.0325
0.0083,0.0325
0.00839999999999999,0.0325
0.0085,0.0325
0.00859999999999999,0.0325
0.0087,0.0325
0.0088,0.0325
0.00889999999999999,0.0325
0.009,0.0325
0.00909999999999999,0.0325
0.0092,0.0325
0.0093,0.0325
0.00939999999999999,0.0325
0.0095,0.0325
0.00959999999999999,0.0325
0.0097,0.0325
0.0098,0.0325
0.00989999999999999,0.0325
0.01,0.0325
0.0101,0.0325
0.0102,0.0325
0.0103,0.0325
0.0104,0.0325
0.0105,0.0325
0.0106,0.0325
0.0107,0.0325
0.0108,0.0325
0.0109,0.0325
0.011,0.0325
0.0111,0.0325
0.0112,0.0325
0.0113,0.0325
0.0114,0.0325
0.0115,0.0325
0.0116,0.0325
0.0117,0.0325
0.0118,0.0325
0.0119,0.0325
0.012,0.0325
0.0121,0.0325
0.0122,0.0325
0.0123,0.0325
0.0124,0.0325
0.0125,0.0325
0.0126,0.0325
0.0127,0.0325
0.0128,0.0325
0.0129,0.0325
0.013,0.0325
0.0131,0.0325
0.0132,0.0325
0.0133,0.0325
0.0134,0.0325
0.0135,0.0325
0.0136,0.0325
0.0137,0.0325
0.0138,0.0325
0.0139,0.0325
0.014,0.0325
0.0141,0.0325
0.0142,0.0325
0.0143,0.0325
0.0144,0.0325
0.0145,0.0325
0.0146,0.0325
0.0147,0.0325
0.0148,0.0325
0.0149,0.0325
0.015,0.0325
0.0151,0.0325
0.0152,0.0325
0.0153,0.0325
0.0154,0.0325
0.0155,0.0325
0.0156,0.0325
0.0157,0.0325
0.0158,0.0325
0.0159,0.0325
0.016,0.0325
0.0161,0.0325
0.0162,0.0325
0.0163,0.0325
0.0164,0.0325
0.0165,0.0325
0.0166,0.0325
0.0167,0.0325
0.0168,0.0325
0.0169,0.0325
0.017,0.0325
0.0171,0.0325
0.0172,0.0325
0.0173,0.0325
0.0174,0.0325
0.0175,0.0325
0.0176,0.0325
0.0177,0.0325
0.0178,0.0325
0.0179,0.0325
0.018,0.0325
0.0181,0.0325
0.0182,0.0325
0.0183,0.0325
0.0184,0.0325
